"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",28091.7125067762,28376.4644606824,28625.532544356,28891.1225721675,29159.6136707302,29475.3757479845,29707.8806770024,29968.1312032101,30280.9428329452,30549.4083851255,30816.767136402,31076.0903786545,31362.6479094999,31610.0631821476
"2",28083.629910293,28360.94552867,28646.2745815926,28908.1326023563,29177.2457515588,29446.764849294,29741.0401722808,29997.7435140404,30270.9132426973,30546.811895132,30793.0372069817,31064.3771372791,31330.4127701474,31602.8397800833
"3",28112.3319863765,28385.116315556,28659.738706482,28930.8560902945,29182.2654005719,29443.5780947744,29719.8137172153,29979.5649556485,30273.6516743681,30558.6777116521,30822.8837142866,31048.5885717647,31376.2355915565,31602.1191978982
"4",28111.7369015829,28360.3055631289,28651.8039000095,28911.2633849335,29172.204450644,29452.2435339192,29674.1186892865,30030.7741985767,30278.6560156076,30520.5959480268,30822.9896903358,31084.7876371056,31352.2696613475,31616.7616832323
"5",28121.014716182,28389.7326742436,28623.033895715,28911.1068675164,29197.8408075349,29443.6277325962,29736.8648258335,29994.0852112156,30264.7421425444,30528.8957687282,30789.0461345884,31047.7319658578,31340.8857839856,31621.2099675408
"6",28072.1062859022,28385.4226985055,28678.0540045016,28919.9888968294,29162.3838799426,29451.3280717774,29703.1398152724,29998.8545277097,30283.3432957177,30532.5538659389,30764.0625967464,31068.2595464499,31344.662769125,31626.9923745452
"7",28120.7824126419,28385.0334234453,28638.2135648079,28944.2651174245,29191.2617817313,29457.3685251804,29734.4087558548,29979.3749217973,30256.1093425362,30540.7752032789,30790.540986701,31065.3042492083,31331.8658659357,31614.7465922447
"8",28101.259559229,28387.3802782746,28651.2259304251,28917.8031959727,29202.0685486127,29441.6796434302,29739.9421714405,29996.0772750924,30255.7539735728,30538.3772767487,30823.9969637516,31057.8454168785,31332.6217083284,31600.1968326971
"9",28108.2359725772,28383.9807709773,28623.9185353468,28904.3990102927,29194.7614989772,29447.0717533408,29726.8512362215,30007.6533266142,30262.5093625075,30530.3376328396,30827.0887174319,31050.582457699,31327.9776605097,31635.2568604447
"10",28106.0854629762,28372.605802861,28636.0444786398,28916.3916342826,29167.2849715633,29473.9319163867,29719.2610589529,30008.792114281,30232.0688764415,30541.6404784888,30798.9567171787,31088.8469543561,31325.8694333585,31602.2865816766
