"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"313",28106.310576347,28085.7015640524,28126.9195886417,28074.791811952,28137.8293407421
"314",28375.8211526941,28339.2794839841,28412.3628214041,28319.9354930513,28431.7068123368
"315",28645.3317290411,28591.343556892,28699.3199011903,28562.7639449204,28727.8995131619
"316",28914.8423053882,28841.7255824967,28987.9590282796,28803.0199274303,29026.6646833461
"317",29184.3528817352,29090.4788858993,29278.2268775712,29040.7849942854,29327.9207691851
"318",29453.8634580823,29337.6886985412,29570.0382176233,29276.1894957269,29631.5374204376
"319",29723.3740344293,29583.4389266616,29863.3091421971,29509.3617552738,29937.3863135848
"320",29992.8846107764,29827.8054109121,30157.9638106406,29740.4177611939,30245.3514603589
"321",30262.3951871234,30070.8552839207,30453.9350903261,29969.4601839813,30555.3301902655
"322",30531.9057634705,30312.6478160702,30751.1637108707,30196.5796698645,30867.2318570764
"323",30801.4163398175,30553.2355238695,31049.5971557655,30421.8565359129,31180.9761437221
"324",31070.9269161645,30792.6652039634,31349.1886283657,30645.3623514185,31496.4914809106
"325",31340.4374925116,31030.9788152142,31649.896169809,30867.1612869236,31813.7136980996
"326",31609.9480688586,31268.2142088503,31951.681928867,31087.3112308867,32132.5849068306
